species,island,flipper_length_mm,bill_length_mm,bill_depth_mm,body_mass_g,sex
Adelie,Torgersen,181.0,39.1,18.7,3750.0,MALE
Adelie,Torgersen,186.0,39.5,17.4,3800.0,FEMALE
Adelie,Torgersen,195.0,40.3,18.0,3250.0,FEMALE
Adelie,Torgersen,,,,,
Adelie,Torgersen,193.0,36.7,19.3,3450.0,FEMALE
Adelie,Torgersen,190.0,39.3,20.6,3650.0,MALE
Adelie,Torgersen,181.0,38.9,17.8,3625.0,FEMALE
Adelie,Torgersen,195.0,39.2,19.6,4675.0,MALE
Adelie,Torgersen,193.0,34.1,18.1,3475.0,
Adelie,Torgersen,190.0,42.0,20.2,4250.0,
Adelie,Torgersen,186.0,37.8,17.1,3300.0,
Adelie,Torgersen,180.0,37.8,17.3,3700.0,
Adelie,Torgersen,182.0,41.1,17.6,3200.0,FEMALE
Adelie,Torgersen,191.0,38.6,21.2,3800.0,MALE
Adelie,Torgersen,198.0,34.6,21.1,4400.0,MALE
Adelie,Torgersen,185.0,36.6,17.8,3700.0,FEMALE
Adelie,Torgersen,195.0,38.7,19.0,3450.0,FEMALE
Adelie,Torgersen,197.0,42.5,20.7,4500.0,MALE
Adelie,Torgersen,184.0,34.4,18.4,3325.0,FEMALE
Adelie,Torgersen,194.0,46.0,21.5,4200.0,MALE
Adelie,Biscoe,174.0,37.8,18.3,3400.0,FEMALE
Adelie,Biscoe,180.0,37.7,18.7,3600.0,MALE
Adelie,Biscoe,189.0,35.9,19.2,3800.0,FEMALE
Adelie,Biscoe,185.0,38.2,18.1,3950.0,MALE
Adelie,Biscoe,180.0,38.8,17.2,3800.0,MALE
Adelie,Biscoe,187.0,35.3,18.9,3800.0,FEMALE
Adelie,Biscoe,183.0,40.6,18.6,3550.0,MALE
Adelie,Biscoe,187.0,40.5,17.9,3200.0,FEMALE
Adelie,Biscoe,172.0,37.9,18.6,3150.0,FEMALE
Adelie,Biscoe,180.0,40.5,18.9,3950.0,MALE
Adelie,Dream,178.0,39.5,16.7,3250.0,FEMALE
Adelie,Dream,178.0,37.2,18.1,3900.0,MALE
Adelie,Dream,188.0,39.5,17.8,3300.0,FEMALE
Adelie,Dream,184.0,40.9,18.9,3900.0,MALE
Adelie,Dream,195.0,36.4,17.0,3325.0,FEMALE
Adelie,Dream,196.0,39.2,21.1,4150.0,MALE
Adelie,Dream,190.0,38.8,20.0,3950.0,MALE
Adelie,Dream,180.0,42.2,18.5,3550.0,FEMALE
Adelie,Dream,181.0,37.6,19.3,3300.0,FEMALE
Adelie,Dream,184.0,39.8,19.1,4650.0,MALE
Adelie,Dream,182.0,36.5,18.0,3150.0,FEMALE
Adelie,Dream,195.0,40.8,18.4,3900.0,MALE
Adelie,Dream,186.0,36.0,18.5,3100.0,FEMALE
Adelie,Dream,196.0,44.1,19.7,4400.0,MALE
Adelie,Dream,185.0,37.0,16.9,3000.0,FEMALE
Adelie,Dream,190.0,39.6,18.8,4600.0,MALE
Adelie,Dream,182.0,41.1,19.0,3425.0,MALE
Adelie,Dream,179.0,37.5,18.9,2975.0,
Adelie,Dream,190.0,36.0,17.9,3450.0,FEMALE
Adelie,Dream,191.0,42.3,21.2,4150.0,MALE
Adelie,Biscoe,186.0,39.6,17.7,3500.0,FEMALE
Adelie,Biscoe,188.0,40.1,18.9,4300.0,MALE
Adelie,Biscoe,190.0,35.0,17.9,3450.0,FEMALE
Adelie,Biscoe,200.0,42.0,19.5,4050.0,MALE
Adelie,Biscoe,187.0,34.5,18.1,2900.0,FEMALE
Adelie,Biscoe,191.0,41.4,18.6,3700.0,MALE
Adelie,Biscoe,186.0,39.0,17.5,3550.0,FEMALE
Adelie,Biscoe,193.0,40.6,18.8,3800.0,MALE
Adelie,Biscoe,181.0,36.5,16.6,2850.0,FEMALE
Adelie,Biscoe,194.0,37.6,19.1,3750.0,MALE
Adelie,Biscoe,185.0,35.7,16.9,3150.0,FEMALE
Adelie,Biscoe,195.0,41.3,21.1,4400.0,MALE
Adelie,Biscoe,185.0,37.6,17.0,3600.0,FEMALE
Adelie,Biscoe,192.0,41.1,18.2,4050.0,MALE
Adelie,Biscoe,184.0,36.4,17.1,2850.0,FEMALE
Adelie,Biscoe,192.0,41.6,18.0,3950.0,MALE
Adelie,Biscoe,195.0,35.5,16.2,3350.0,FEMALE
Adelie,Biscoe,188.0,41.1,19.1,4100.0,MALE
Adelie,Torgersen,190.0,35.9,16.6,3050.0,FEMALE
Adelie,Torgersen,198.0,41.8,19.4,4450.0,MALE
Adelie,Torgersen,190.0,33.5,19.0,3600.0,FEMALE
Adelie,Torgersen,190.0,39.7,18.4,3900.0,MALE
Adelie,Torgersen,196.0,39.6,17.2,3550.0,FEMALE
Adelie,Torgersen,197.0,45.8,18.9,4150.0,MALE
Adelie,Torgersen,190.0,35.5,17.5,3700.0,FEMALE
Adelie,Torgersen,195.0,42.8,18.5,4250.0,MALE
Adelie,Torgersen,191.0,40.9,16.8,3700.0,FEMALE
Adelie,Torgersen,184.0,37.2,19.4,3900.0,MALE
Adelie,Torgersen,187.0,36.2,16.1,3550.0,FEMALE
Adelie,Torgersen,195.0,42.1,19.1,4000.0,MALE
Adelie,Torgersen,189.0,34.6,17.2,3200.0,FEMALE
Adelie,Torgersen,196.0,42.9,17.6,4700.0,MALE
Adelie,Torgersen,187.0,36.7,18.8,3800.0,FEMALE
Adelie,Torgersen,193.0,35.1,19.4,4200.0,MALE
Adelie,Dream,191.0,37.3,17.8,3350.0,FEMALE
Adelie,Dream,194.0,41.3,20.3,3550.0,MALE
Adelie,Dream,190.0,36.3,19.5,3800.0,MALE
Adelie,Dream,189.0,36.9,18.6,3500.0,FEMALE
Adelie,Dream,189.0,38.3,19.2,3950.0,MALE
Adelie,Dream,190.0,38.9,18.8,3600.0,FEMALE
Adelie,Dream,202.0,35.7,18.0,3550.0,FEMALE
Adelie,Dream,205.0,41.1,18.1,4300.0,MALE
Adelie,Dream,185.0,34.0,17.1,3400.0,FEMALE
Adelie,Dream,186.0,39.6,18.1,4450.0,MALE
